ID;Bezeichnung;WKN;secu;ISIN;Branche;Sektor;Indizes;WP_Art;Veraenderung_zum_Vortag_€;Veraenderung_zum_Vortag_%;link_Hauptseite;link_Chart;link_Kurshistorie;link_Analysten;link_GuV;Boerse_ID;;;;
229927;MVV Energie;A0H52F;938162;DE000A0H52F5;Versorgungsunternehmen - Diverzifierte;Versorger;Cdax;Einzelwert;0;0;https://www.ariva.de/mvv_energie-aktie;;https://www.ariva.de/mvv_energie-aktie/kurse/historische-kurse;;;131;;;;
229928;Moncler S.p.A.;A1W66W;114204766;IT0004965148;Bekleidungsherstellung;Energie;;;0;0;https://www.ariva.de/moncler-aktie;;https://www.ariva.de/moncler-aktie/kurse/historische-kurse;;;6;;;;
229929;Gecina S.A.;A0BLMY;;FR0010040865;REIT - Büro;Energie;;;0;0;https://www.ariva.de/gecina-aktie;;;;;6;;https://www.ariva.de/Gecina-aktie;;https://www.ariva.de/Gecina-aktie/Kurse/historische-kurse
229930;Orsted A/S;A0NBLH;;DK0060094928;Versorgungsunternehmen - erneuerbar;Energie;;;0;0;;;;;;6;;https://www.ariva.de/Orsted-aktie;;https://www.ariva.de/Orsted-aktie/Kurse/historische-kurse
229931;EDP Renováveis S.A.;A0Q249;;ES0127797019;Versorgungsunternehmen - erneuerbar;Energie;;;0;0;;;;;;6;;https://www.ariva.de/EDP-aktie;;https://www.ariva.de/EDP-aktie/Kurse/historische-kurse
229932;Aéroports de Paris S.A.;A0J2WM;;FR0010340141;Flughäfen und Luftverkehrsdienste;Energie;;;0;0;;;;;;6;;https://www.ariva.de/Aéroports-aktie;;https://www.ariva.de/Aéroports-aktie/Kurse/historische-kurse
229933;Flughafen Zürich AG;A2AJEP;;CH0319416936;Flughäfen und Luftverkehrsdienste;Energie;;;0;0;;;;;;6;;https://www.ariva.de/Flughafen-aktie;;https://www.ariva.de/Flughafen-aktie/Kurse/historische-kurse
229934;Capital Power Corp.;A0RP0Y;;CA14042M1023;Versorgungsunternehmen - Unabhängige Energieerzeuger;Energie;;;0;0;;;;;;6;;https://www.ariva.de/Capital-aktie;;https://www.ariva.de/Capital-aktie/Kurse/historische-kurse
229935;Waste Connections Inc.;A2AKQ7;;CA94106B1013;Abfallwirtschaft;Industrie;;;0;0;;;;;;6;;https://www.ariva.de/Waste-aktie;;https://www.ariva.de/Waste-aktie/Kurse/historische-kurse
229936;WSP Global Inc.;A1XBPS;;CA92938W2022;Ingenieurwesen und Bau;Industrie;;;0;0;;;;;;6;;https://www.ariva.de/WSP-aktie;;https://www.ariva.de/WSP-aktie/Kurse/historische-kurse
229937;DSV Panalpina A/S;A0MRDY;;DK0060079531;Integrierte Fracht & Logistik;Energie;;;0;0;;;;;;6;;https://www.ariva.de/DSV-aktie;;https://www.ariva.de/DSV-aktie/Kurse/historische-kurse
229938;Kuehne + Nagel International AG;A0JLZL;;CH0025238863;Integrierte Fracht & Logistik;Energie;;;0;0;;;;;;6;;https://www.ariva.de/Kuehne-aktie;;https://www.ariva.de/Kuehne-aktie/Kurse/historische-kurse
229939;CTP NV;A2QRMW;;NL00150006R6;Immobilien-Entwicklung;Immobilien;;;0;0;;;;;;6;;https://www.ariva.de/CTP-aktie;;https://www.ariva.de/CTP-aktie/Kurse/historische-kurse
229940;Atrium Ljungberg AB;533995;;SE0000191827;Immobilien-Entwicklung;Immobilien;;;0;0;;;;;;6;;https://www.ariva.de/Atrium-aktie;;https://www.ariva.de/Atrium-aktie/Kurse/historische-kurse
229941;Jerónimo Martins, SGPS, S.A.;878605;;PTJMT0AE0001;Speisenverteilung;Defensive Konsumgüter;;;0;0;;;;;;6;;https://www.ariva.de/Jerónimo-aktie;;https://www.ariva.de/Jerónimo-aktie/Kurse/historische-kurse
229942;TEGNA Inc.;A14VMF;;US87901J1051;Übertragungen;Kommunikationsdienstleistungen;;;0;0;;;;;;6;;https://www.ariva.de/TEGNA-aktie;;https://www.ariva.de/TEGNA-aktie/Kurse/historische-kurse
229943;Carlsberg AS;861061;;DK0010181759;Getränke - Brauereien;Defensive Konsumgüter;;;0;0;;;;;;6;;https://www.ariva.de/Carlsberg-aktie;;https://www.ariva.de/Carlsberg-aktie/Kurse/historische-kurse
229944;Loblaw Companies Ltd.;853286;;CA5394811015;Lebensmittelgeschäfte;Defensive Konsumgüter;;;0;0;;;;;;6;;https://www.ariva.de/Loblaw-aktie;;https://www.ariva.de/Loblaw-aktie/Kurse/historische-kurse
229945;Weston Ltd., George;852885;;CA9611485090;Lebensmittelgeschäfte;Defensive Konsumgüter;;;0;0;;;;;;6;;https://www.ariva.de/Weston-aktie;;https://www.ariva.de/Weston-aktie/Kurse/historische-kurse
229946;Solvay S.A.;856200;;BE0003470755;Chemikalien;Grundstoffe;;;0;0;;;;;;6;;https://www.ariva.de/Solvay-aktie;;https://www.ariva.de/Solvay-aktie/Kurse/historische-kurse
229947;Canadian National Railway Co.;897879;;CA1363751027;Eisenbahnen;Industrie;;;0;0;;;;;;6;;https://www.ariva.de/Canadian-aktie;;https://www.ariva.de/Canadian-aktie/Kurse/historische-kurse
229948;Canadian Pacific Kansas City Limited;A3D9ZG;;CA13646K1084;Eisenbahnen;Industrie;;;0;0;;;;;;6;;https://www.ariva.de/Canadian-aktie;;https://www.ariva.de/Canadian-aktie/Kurse/historische-kurse
229949;ACCOR S.A.;860206;;FR0000120404;Unterkunft;Zyklische Konsumgüter;;;0;0;;;;;;6;;https://www.ariva.de/ACCOR-aktie;;https://www.ariva.de/ACCOR-aktie/Kurse/historische-kurse
229950;Chocoladef. Lindt & Sprüngli;859568;;CH0010570759;Konditoren;Defensive Konsumgüter;;;0;0;;;;;;6;;https://www.ariva.de/Chocoladef.-aktie;;https://www.ariva.de/Chocoladef.-aktie/Kurse/historische-kurse
229951;Barry Callebaut AG;914661;;CH0009002962;Konditoren;Defensive Konsumgüter;;;0;0;;;;;;6;;https://www.ariva.de/Barry-aktie;;https://www.ariva.de/Barry-aktie/Kurse/historische-kurse
229952;Volvo (A);871229;;SE0000115420;Farm & Schwere Baumaschinen;Industrie;;;0;0;;;;;;6;;https://www.ariva.de/Volvo-aktie;;https://www.ariva.de/Volvo-aktie/Kurse/historische-kurse
229953;UNIVERSAL MUSIC GROUP EO1;A3C291;;NL0015000IY2;Unterhaltung;Kommunikationsdienstleistungen;;;0;0;;;;;;6;;https://www.ariva.de/UNIVERSAL-aktie;;https://www.ariva.de/UNIVERSAL-aktie/Kurse/historische-kurse
229954;Lagercrantz Group AB;A2QEJ6;;SE0014990966;Elektronische Bauelemente;Technologie;;;0;0;;;;;;6;;https://www.ariva.de/Lagercrantz-aktie;;https://www.ariva.de/Lagercrantz-aktie/Kurse/historische-kurse
229955;CEZ AS;887832;;CZ0005112300;Versorgungsunternehmen - erneuerbar;Versorger;;;0;0;;;;;;6;;https://www.ariva.de/CEZ-aktie;;https://www.ariva.de/CEZ-aktie/Kurse/historische-kurse
229956;Københavns Lufthavne AS;890262;;DK0010201102;Flughäfen und Luftverkehrsdienste;Industrie;;;0;0;;;;;;6;;https://www.ariva.de/Københavns-aktie;;https://www.ariva.de/Københavns-aktie/Kurse/historische-kurse
229957;H & M Hennes & Mauritz AB;872318;;SE0000106270;Bekleidungsherstellung;Zyklische Konsumgüter;;;0;0;;;;;;6;;https://www.ariva.de/H-aktie;;https://www.ariva.de/H-aktie/Kurse/historische-kurse
229958;AerCap Holdings N.V.;A0LFB3;;NL0000687663;Miet- und Leasingdienstleistungen;Industrie;;;0;0;;;;;;6;;https://www.ariva.de/AerCap-aktie;;https://www.ariva.de/AerCap-aktie/Kurse/historische-kurse
229959;Haleon PLC;A3DNZQ;;GB00BMX86B70;Arzneimittelherstellern- Spezielle und Generische;Gesundheitswesen;;;0;0;;;;;;6;;https://www.ariva.de/Haleon-aktie;;https://www.ariva.de/Haleon-aktie/Kurse/historische-kurse
229960;Sandoz Group AG;A3ETYB;;CH1243598427;Arzneimittelherstellern- Spezielle und Generische;Gesundheitswesen;;;0;0;;;;;;6;;https://www.ariva.de/Sandoz-aktie;;https://www.ariva.de/Sandoz-aktie/Kurse/historische-kurse
229961;PennyMac Financial Services;A2N8PG;;US70932M1071;Hypothekenfinanzierung;Finanzdienstleistungen;;;0;0;;;;;;6;;https://www.ariva.de/PennyMac-aktie;;https://www.ariva.de/PennyMac-aktie/Kurse/historische-kurse
229962;First National Financial Corp.;A1H4UM;;CA33564P1036;Hypothekenfinanzierung;Finanzdienstleistungen;;;0;0;;;;;;6;;https://www.ariva.de/First-aktie;;https://www.ariva.de/First-aktie/Kurse/historische-kurse
229963;Blackstone Group Inc., The;A2PM4W;;US09260D1072;Vermögensverwaltung;Finanzdienstleistungen;;;0;0;;;;;;6;;https://www.ariva.de/Blackstone-aktie;;https://www.ariva.de/Blackstone-aktie/Kurse/historische-kurse
